1N-1-1	0   0   11
1N-3-1	1   1   31
1N-5-1	2   2   51
1N-7-1	3   3   71
1N-2-1	4   0   21
1N-4-1	5   1   41
1N-6-1	6   2   61
1N-8-1	7   3   81
1N-1-2	8   0   12
1N-3-2	9   1   32   
1N-5-2	10  2   52
1N-7-2	11  3   72
1N-2-2	12  0   22
1N-4-2	13  1   42
1N-6-2	14  2   62
1N-8-2	15  3   82
1N-1-3	16  0   13
1N-3-3	17  1   33
1N-5-3	18  2   53
1N-7-3	19  3   73
1N-2-3	20  0   23
1N-4-3	21  1   43
1N-6-3	22  2   63
1N-8-3	23  3   83
1N-1-4	24  0   14
1N-3-4	25  1   34
1N-5-4	26  2   54
1N-7-4	27  3   74
1N-2-4	28  0   24
1N-4-4	29  1   44
1N-6-4	30  2   64
1N-8-4	31  3   84
